trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_1996,ECP_1996,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;9
ECP_1999,ECP_1999,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;7
ECP_2005,ECP_2005,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_2021,ECP_2021,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_2033,ECP_2033,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;9
ECP_2043,ECP_2043,KFF-acpP Jvpna-21 ECP_1086,2,2;9
ECP_2043,ECP_2043,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;8
ECP_2048,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_2058,ECP_2058,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;9
ECP_2071,ECP_2071,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_2071,ECP_2071,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;9
ECP_2080,ECP_2080,KFF-acpP Jvpna-21 ECP_1086,2,8;10
ECP_2090,ECP_2090,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_2096,ECP_2096,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;9
ECP_2153,JD73_20480,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;4
ECP_2170,ECP_2170,KFF-acpP Jvpna-21 ECP_1086,2,2;5
ECP_2180,lrgA,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_2180,lrgA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_2180,lrgA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;9
ECP_2182,cdd,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_2182,cdd,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_2220,yejE,KFF-acpP Jvpna-21 ECP_1086,2,4;6
ECP_2256,ECP_2256,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_2310,ECP_2310,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;6
ECP_2327,ECP_2327,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;9
ECP_2328,ECP_2328,KFF-acpP Jvpna-21 ECP_1086,2,1;2
ECP_2328,ECP_2328,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;10
ECP_2401,ECP_2401,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;9
ECP_2413,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;9
ECP_2429,ECP_2429,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_2429,ECP_2429,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_2468,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;9
ECP_2500,ECP_2500,KFF-acpP Jvpna-21 ECP_1086 reverse,2,9;10
ECP_2529,ECP_2529,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;8
ECP_2536,ECP_2536,KFF-acpP Jvpna-21 ECP_1086,2,1;6
ECP_2536,ECP_2536,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;10
ECP_2551,yphH,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_2557,ECP_2557,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;8
ECP_2574,ECP_2574,KFF-acpP Jvpna-21 ECP_1086,2,3;8
ECP_2590,ECP_2590,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;5
ECP_2596,ECP_2596,KFF-acpP Jvpna-21 ECP_1086,2,5;8
ECP_2607,rplS,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_2625,gabT,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;8
ECP_2639,nrdI,KFF-acpP Jvpna-21 ECP_1086,2,3;5
