"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_2497",0.0322509278490498,6.57612457519047,0.0764362809706879,0.784985209884191,0.936315835476169,"ECP_2497"
"ECP_3320",0.0903083032723739,5.06299894445125,0.076598308482948,0.785060105350195,0.936315835476169,"ECP_3320"
"ECP_4322",-0.0778261400578243,2.40973345213028,0.0768131464180768,0.784469824304584,0.936315835476169,"ECP_4322"
"ECP_1897",-0.19514936430338,-0.0153122611426206,0.0759031270581458,0.785716678141487,0.936611850996622,"ECP_1897"
"ECP_3200",-0.0617903301387835,6.75698526000753,0.0762148572329027,0.785527419590498,0.936611850996622,"ECP_3200"
"ECP_0452",0.0413151334213915,3.89065020779281,0.0752974443026794,0.78655102567875,0.937362835746539,"ECP_0452"
"ECP_1881",0.146252220973448,2.6268806721187,0.0753170832254916,0.786803003885816,0.937419578915387,"ECP_1881"
"ECP_4621",-0.0399535059368273,5.88801260674213,0.0748031508010831,0.787234617324806,0.93769025958683,"ECP_4621"
"ECP_2458",0.0642513276083138,3.1635944172493,0.07447392587275,0.787691276658951,0.937814602151953,"ECP_2458"
"ECP_3025",0.0578322946611602,4.49989063961061,0.0744331512326484,0.787747909764874,0.937814602151953,"ECP_3025"
"ECP_0072",-0.0280011682393332,5.52345488447575,0.0738610010538169,0.7885443558114,0.938275735436288,"ECP_0072"
"ECP_2615",-0.0347615896161415,5.74822367800973,0.0738682771253573,0.788534206530365,0.938275735436288,"ECP_2615"
"ECP_1800",0.0392192567771266,6.19946783453767,0.073225019445542,0.789433566250778,0.938846712054011,"ECP_1800"
"ECP_2098",-0.191016752037861,-0.101193919126515,0.073250853538365,0.789397364959759,0.938846712054011,"ECP_2098"
"ECP_1205",0.0767085601583988,2.95095927122737,0.0728711489969919,0.789930138232512,0.939102674480354,"ECP_1205"
"ECP_2104",-0.0287965848774912,7.47488246133665,0.0727430156531961,0.790110262448112,0.939102674480354,"ECP_2104"
"ECP_3902",-0.0235111406920716,8.21637513796403,0.0726344680745038,0.790262987463302,0.939102674480354,"ECP_3902"
"ECP_0297",-0.0609462226459792,3.62519457922017,0.07202344598392,0.791124987131014,0.939880534338876,"ECP_0297"
"ECP_0688",-0.0279673646570304,6.65367249105857,0.0718803941432718,0.791327365078862,0.939880534338876,"ECP_0688"
"ECP_1401",0.0733960529266833,4.72224112729188,0.0711595556112052,0.792350457146351,0.940721878381107,"ECP_1401"
"ECP_2042",-0.0735303058109008,3.25009201916065,0.0710925094212706,0.792445898858644,0.940721878381107,"ECP_2042"
"ECP_0293",0.0421110688805272,8.46908908480481,0.0702352411023475,0.793670524889699,0.94094594803266,"ECP_0293"
"ECP_0768",0.0367594325933191,7.26123300466382,0.0707146545765319,0.792984689720245,0.94094594803266,"ECP_0768"
"ECP_0946",0.113078480968422,1.06487437580061,0.0738166813732156,0.793768780140822,0.94094594803266,"ECP_0946"
"ECP_2324",-0.0376993857258446,7.1176750342642,0.0706104890382755,0.793133493172627,0.94094594803266,"ECP_2324"
"ECP_2433",0.0376270324633246,5.64165516201123,0.0703002978971174,0.793577309445786,0.94094594803266,"ECP_2433"
"ECP_4578",-0.0794819319782483,2.43828490407377,0.0700993037512005,0.793865449942532,0.94094594803266,"ECP_4578"
"ECP_0256",-0.0627562072705066,2.95688151849646,0.0680928574881884,0.796766479744149,0.941450348365959,"ECP_0256"
"ECP_0798",0.0656821469147498,3.67586127423671,0.0691450552639481,0.795239524283078,0.941450348365959,"ECP_0798"
"ECP_0804",-0.103341192296022,2.00150101947243,0.0855370353472876,0.795968272072857,0.941450348365959,"ECP_0804"
"ECP_1611",-0.0388190649969928,7.0108261168267,0.0690058254877078,0.795440857014191,0.941450348365959,"ECP_1611"
"ECP_1870",-0.0866668075657679,5.10159380106148,0.0687875835270822,0.796042285302347,0.941450348365959,"ECP_1870"
"ECP_2020",-0.140183486274419,0.985852556802477,0.0684482044603862,0.796249393262568,0.941450348365959,"ECP_2020"
"ECP_2739",0.0316928046478158,6.60976182000219,0.0680091555388183,0.796888489621219,0.941450348365959,"ECP_2739"
"ECP_3283",0.0368078073316264,5.75344380065568,0.0687784704714923,0.795770091628634,0.941450348365959,"ECP_3283"
"ECP_3751",-0.0505255395309451,5.82564304746511,0.069516927230803,0.794702843372723,0.941450348365959,"ECP_3751"
"ECP_3891",-0.0778131900423184,2.00333721470232,0.068766047860522,0.795788097706384,0.941450348365959,"ECP_3891"
"ECP_4255",-0.0372045785000997,4.12370839547754,0.0680862642595695,0.796776087584655,0.941450348365959,"ECP_4255"
"ECP_4271",0.0512979591087959,3.79204516794586,0.0679606936895154,0.796959167801399,0.941450348365959,"ECP_4271"
"ECP_4524",0.0347022381543082,4.74030607977836,0.0694992981832241,0.794728250577227,0.941450348365959,"ECP_4524"
"ECP_2271",-0.0517871254245262,3.87449460607559,0.0676857123193061,0.797360720698282,0.941682189969881,"ECP_2271"
"ECP_4038",0.0759846199250563,2.60520580499322,0.0672437197793349,0.798007992995597,0.942204031884377,"ECP_4038"
"ECP_0703",-0.0520662356200815,8.8092534531425,0.0661622908313753,0.799840912694242,0.94305509415444,"ECP_0703"
"ECP_2616",-0.0245298469290299,7.74620004322428,0.0662176035728648,0.799519512383717,0.94305509415444,"ECP_2616"
"ECP_2785",0.0503707107239452,3.30413421592261,0.0661899725339062,0.799560386839637,0.94305509415444,"ECP_2785"
"ECP_2871",0.114319636314596,1.60077837504726,0.0659185641580962,0.799962365675807,0.94305509415444,"ECP_2871"
"ECP_3633",-0.0245911628524467,7.56659240537012,0.0660428068183795,0.799778242168811,0.94305509415444,"ECP_3633"
"ECP_3985",0.0282773871451557,5.34180261392412,0.0661533468740951,0.799614581054848,0.94305509415444,"ECP_3985"
"ECP_0096",-0.0212950115199341,9.29175624535808,0.0656809662164322,0.800314995171197,0.943228387166054,"ECP_0096"
"ECP_2794",-0.0335822068739134,5.32156435628707,0.0654483135483296,0.800660946279939,0.943393722215792,"ECP_2794"
"ECP_0111",0.040984585653292,4.54395662184672,0.0645119344882629,0.802060013192315,0.943738204200435,"ECP_0111"
"ECP_0270",-0.0438953218195949,4.15785408834503,0.0647406326919399,0.801717314206876,0.943738204200435,"ECP_0270"
"ECP_1944",0.168297866447759,1.08911942682991,0.0641739510947517,0.80256766288701,0.943738204200435,"ECP_1944"
"ECP_1984",0.143664370409063,0.655495578147602,0.0640162705631378,0.80280498643778,0.943738204200435,"ECP_1984"
"ECP_2656",0.0203086334962789,8.85828621221954,0.0649766781856702,0.801364282566619,0.943738204200435,"ECP_2656"
"ECP_3566",-0.0429697330087008,6.41488699222757,0.0642658146978129,0.802429543215597,0.943738204200435,"ECP_3566"
"ECP_3786",0.171611236851713,3.12953343448808,0.0644592742188598,0.802616456558264,0.943738204200435,"ECP_3786"
"ECP_3849",0.0789119018377436,3.83136830720412,0.0649007009885708,0.801477839863953,0.943738204200435,"ECP_3849"
"ECP_3877",-0.0701998900505668,2.62701680056277,0.0640231472885581,0.802794629840457,0.943738204200435,"ECP_3877"
"ECP_0982",0.129903390705758,2.09490803870515,0.0637994776542409,0.803131789191446,0.943880480917542,"ECP_0982"
"ECP_0786",0.037555976805362,4.76246587105545,0.0634720431769026,0.803626502540322,0.943978173406519,"ECP_0786"
"ECP_1465",0.0464058788451318,5.2193900757333,0.0635620070196476,0.803490442878392,0.943978173406519,"ECP_1465"
