"","control_1","control_2","control_3","genename"
"ECP_1768",453.180690199427,488.226859394579,468.312009862043,"ECP_1768"
"ECP_1769",400.093309230858,424.279581813065,421.258028187855,"ECP_1769"
"ECP_1770",92.0014564576358,123.164854260669,79.6744751389914,"yobH"
"ECP_1771",330.922631882696,301.554760384103,317.993348958705,"ECP_1771"
"ECP_1772",5.77864026323608,4.28466165161206,5.69554438513979,"yebQ"
"ECP_1773",289.181728293361,299.169097928908,322.038646457162,"ECP_1773"
"ECP_1774",105.288977024663,112.598015884409,125.43801111903,"ECP_1774"
"ECP_1775",1427.97251483425,1085.04667137875,1270.15762483884,"ECP_1775"
"ECP_1776",150.172372399079,135.138826225239,170.260079789364,"ECP_1776"
"ECP_1777",11.9551246069006,12.1622850266222,13.0904948011646,"yebS"
"ECP_1778",11.569440806449,10.8929342029846,13.4600317925452,"yebT"
"ECP_1779",27.1930639219977,26.3992798088231,44.0485573042902,"rsmF"
"ECP_1780",18.8246434229253,13.596735762131,17.8019458844721,"yebV"
"ECP_1781",24.4181947789958,19.6883021747924,18.7844625550113,"yebW"
"ECP_1782",8.97743617150884,6.50823732344362,6.73243424044517,"ECP_1782"
"ECP_1783",115.1952867446,102.014510204504,99.6863633505267,"ECP_1783"
"ECP_1784",51.6244109106538,45.643231992398,70.9334824096388,"ECP_1784"
"ECP_1785",78.4406938345651,76.1814645724689,115.956132928263,"ECP_1785"
"ECP_1786",83.464748556811,48.5234740886934,49.0041087942766,"holE"
"ECP_1787",7.82648281618719,7.26281556384288,10.2540152277549,"yobB"
"ECP_1788",23.3810185009798,18.3198622120463,23.6068717501722,"exoX"
"ECP_1789",7.59478434596742,5.74295000321336,9.74020633980428,"ECP_1789"
"ECP_1790",9.28034616820485,7.41758985065204,13.8160849804268,"ECP_1790"
"ECP_1791",141.91545027424,98.7696944478909,144.676399726055,"ECP_1791"
"ECP_1792",302.730396195864,224.666919527122,258.400543063684,"ECP_1792"
"ECP_1793",10.0053868781702,5.30868832677838,9.35029563446912,"purT"
"ECP_1794",65.3703857815745,66.0238330016633,102.922027950857,"ECP_1794"
"ECP_1795",40.6048340439443,32.9342481716645,43.1129586668059,"ECP_1795"
"ECP_1796",260.40951284896,247.207193293728,303.594259057523,"ECP_1796"
"ECP_1797",23.1198747451404,16.9526409681423,21.5880772005023,"hexR"
"ECP_1798",61.7308208965881,58.8347477824818,76.1605950529937,"ECP_1798"
"ECP_1799",63.0146962038601,59.5470527626184,79.2509167939354,"ECP_1799"
"ECP_1800",22.9767871872578,18.9703279569763,33.2274342135964,"ECP_1800"
"ECP_1801",96.9162196934748,66.3019689162973,102.522207514786,"ECP_1801"
"ECP_1802",31.8074180838532,28.6896935151802,49.2367823544352,"ECP_1802"
"ECP_1803",20.8766245438743,18.2124802497892,33.8515332692354,"ECP_1803"
"ECP_1804",72.2518653209838,65.4635807876349,76.5976136166275,"ECP_1804"
"ECP_1805",96.9932088628043,95.891081501914,116.973760164983,"ECP_1805"
"ECP_1806",3.76207141515583,4.11076205590642,5.8682710394328,"yebB"
"ECP_1807",157.754032565526,141.98430390685,207.66791654831,"ECP_1807"
"ECP_1808",538.915968668154,432.617347687852,530.803482419203,"ECP_1808"
"ECP_1809",222.765466580133,230.572088207405,286.14455147542,"ECP_1809"
"ECP_1810",255.556047142829,231.276794302474,326.314594423688,"ECP_1810"
"ECP_1811",26.6728872820572,25.9026947165627,33.1245629002416,"yecD"
"ECP_1812",8.67894716946938,8.70148946174696,14.0419342729285,"yecE"
"ECP_1813",45.6379163415835,45.2253895957477,58.7699137227112,"yecN"
"ECP_1814",92.1844023498405,83.9589998611983,121.098616787997,"cmoA"
"ECP_1815",83.3972275685655,80.5861613404173,91.0125369541661,"cmoB"
"ECP_1816",5.19222215911956,4.7966588708526,5.60706450656263,"ECP_1816"
"ECP_1817",2.23523828043881,1.16924033948659,1.71193393167778,"ECP_1817"
"ECP_1818",0.549446942376982,0.450279658439885,0.679875669051872,"ECP_1818"
"ECP_1819",42.7183964626971,37.994832664923,47.0059931360683,"ECP_1819"
"ECP_1820",39.4758731774446,37.3785721226348,48.8467286246316,"ECP_1820"
